player_name,age,player_height
De'Aaron Fox,23,190.5
De'Andre Hunter,23,203.2
De'Anthony Melton,23,187.96
DeAndre Jordan,32,210.82
DeAndre' Bembry,26,195.58
DeMar DeRozan,31,198.12
DeMarcus Cousins,30,208.28
Dean Wade,24,205.74
Deandre Ayton,22,210.82
Deividas Sirvydis,21,203.2
Dejounte Murray,24,193.04
Delon Wright,29,195.58
Deni Avdija,20,205.74
Dennis Schroder,27,190.5
Dennis Smith Jr.,23,187.96
Denzel Valentine,27,193.04
Derrick Favors,29,205.74
Derrick Jones Jr.,24,195.58
Derrick Rose,32,187.96
Derrick White,26,193.04
Danilo Gallinari,32,208.28
Daniel Theis,29,203.2
Daniel Oturu,21,203.2
Daniel Gafford,22,208.28
Cassius Stanley,21,195.58
Cassius Winston,23,185.42
Cedi Osman,26,200.66
Chandler Hutchison,25,198.12
Charlie Brown Jr.,24,198.12
Chasson Randle,28,187.96
Chimezie Metu,24,205.74
Chris Boucher,28,205.74
Chris Chiozza,25,180.34
Chris Paul,36,182.88
Chris Silva,24,203.2
Christian Wood,25,208.28
Chuma Okeke,22,198.12
Clint Capela,27,208.28
Carmelo Anthony,37,200.66
Coby White,21,195.58
Cody Zeller,28,210.82
Cole Anthony,21,187.96
Collin Sexton,22,185.42
Cory Joseph,29,190.5
Cristiano Felicio,28,210.82
D'Angelo Russell,25,193.04
D.J. Augustin,33,180.34
D.J. Wilson,25,208.28
DaQuan Jeffries,23,195.58
Dakota Mathias,25,193.04
Damian Jones,26,210.82
Damian Lillard,30,187.96
Damion Lee,28,195.58
Damyean Dotson,27,195.58
Cody Martin,25,195.58
Jontay Porter,21,210.82
Jordan Bell,26,203.2
Jordan Bone,23,187.96
Richaun Holmes,27,208.28
Ricky Rubio,30,190.5
Robert Covington,30,200.66
Robert Franks,24,200.66
Robert Williams III,23,203.2
Robert Woodard II,21,198.12
Robin Lopez,33,213.36
Rodions Kurucs,23,205.74
Rodney Hood,28,203.2
Rodney McGruder,29,193.04
Romeo Langford,21,193.04
Rondae Hollis-Jefferson,26,198.12
Royce O'Neale,28,193.04
Rudy Gay,34,203.2
Rudy Gobert,29,215.9
Rui Hachimura,23,203.2
Russell Westbrook,32,190.5
Ryan Arcidiacono,27,190.5
Saben Lee,22,187.96
Saddiq Bey,22,200.66
Sam Merrill,25,193.04
Sean McDermott,24,198.12
Sekou Doumbouya,20,203.2
Semi Ojeleye,26,198.12
Serge Ibaka,31,208.28
Seth Curry,30,187.96
Shai Gilgeous-Alexander,22,198.12
Shake Milton,24,195.58
Shaquille Harrison,27,200.66
Reggie Perry,21,203.2
Reggie Jackson,31,187.96
Reggie Bullock,30,198.12
Rayjon Tucker,23,190.5
Norman Powell,28,190.5
Norvel Pelle,28,208.28
OG Anunoby,23,200.66
Obi Toppin,23,205.74
Onyeka Okongwu,20,203.2
Oshae Brissett,23,200.66
Otto Porter Jr.,28,203.2
P.J. Tucker,36,195.58
P.J. Washington,22,200.66
PJ Dozier,24,198.12
Pascal Siakam,27,205.74
Pat Connaughton,28,195.58
Patrick Beverley,32,185.42
Patrick McCaw,25,200.66
Sindarius Thornwell,26,193.04
Patrick Patterson,32,203.2
Patty Mills,32,185.42
Paul George,31,203.2
Paul Millsap,36,200.66
Paul Reed,22,205.74
Paul Watson,26,198.12
Payton Pritchard,23,185.42
Precious Achiuwa,21,203.2
Quinn Cook,28,185.42
Quinndary Weatherspoon,24,190.5
R.J. Hampton,20,193.04
RJ Barrett,21,198.12
Rajon Rondo,35,185.42
Raul Neto,29,185.42
Ray Spalding,24,205.74
Patrick Williams,19,200.66
Noah Vonleh,25,208.28
Skylar Mays,23,193.04
Spencer Dinwiddie,28,195.58
Trent Forrest,23,193.04
Trevor Ariza,36,203.2
Trey Burke,28,182.88
Trey Lyles,25,205.74
Tristan Thompson,30,205.74
Troy Brown Jr.,21,198.12
Ty Jerome,23,195.58
Ty-Shon Alexander,22,190.5
Tyler Bey,23,200.66
Tyler Cook,23,203.2
Tyler Herro,21,195.58
Tyler Johnson,29,190.5
Tyrell Terry,20,187.96
Tyrese Haliburton,21,195.58
Tyrese Maxey,20,187.96
Tyus Jones,25,182.88
Udoka Azubuike,21,208.28
Udonis Haslem,41,203.2
Vernon Carey Jr.,20,205.74
Victor Oladipo,29,193.04
Vincent Poirier,27,213.36
Vlatko Cancar,24,203.2
Wayne Ellington,33,193.04
Wendell Carter Jr.,22,208.28
Wenyen Gabriel,24,205.74
Wes Iwundu,26,198.12
Wesley Matthews,34,193.04
Will Barton,30,198.12
Will Magnay,23,208.28
Tremont Waters,23,177.8
Tre Jones,21,185.42
Trae Young,22,185.42
Torrey Craig,30,200.66
Stanley Johnson,25,198.12
Stephen Curry,33,190.5
Sterling Brown,26,195.58
Steven Adams,27,210.82
Svi Mykhailiuk,24,200.66
T.J. Leaf,24,208.28
T.J. McConnell,29,185.42
T.J. Warren,27,203.2
Tacko Fall,25,226.06
Taj Gibson,36,205.74
Talen Horton-Tucker,20,193.04
Taurean Prince,27,200.66
Terance Mann,24,195.58
Terence Davis,24,193.04
Solomon Hill,30,198.12
Terrance Ferguson,23,198.12
Terry Rozier,27,185.42
Thaddeus Young,33,203.2
Thanasis Antetokounmpo,28,198.12
Theo Maledon,20,193.04
Theo Pinson,25,195.58
Thomas Bryant,23,208.28
Thon Maker,24,213.36
Tim Frazier,30,182.88
Tim Hardaway Jr.,29,195.58
Timothe Luwawu-Cabarrot,26,200.66
Tobias Harris,28,203.2
Tomas Satoransky,29,200.66
Tony Bradley,23,208.28
Tony Snell,29,198.12
Terrence Ross,30,198.12
Willy Hernangomez,27,210.82
Nikola Vucevic,30,210.82
Nicolo Melli,30,205.74
Kenrich Williams,26,198.12
Kent Bazemore,31,193.04
Kentavious Caldwell-Pope,28,195.58
Kenyon Martin Jr.,20,198.12
Kevin Durant,32,208.28
Kevin Huerter,22,200.66
Kevin Knox II,21,200.66
Kevin Love,32,203.2
Kevin Porter Jr.,21,193.04
